,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
LN,0,-51.06911537649536,2.1870804381312894,0.0,0.9999999999999352,3.88693598657549,0.0,False,log
Gamma,1,-52.49444051670405,2.624011447060255,1.4253251402086953,3.660266534311063e-14,4.5061447123611424,0.960081655548014,False,log
NB,2,-53.73121504141422,0.9937777458509487,2.6620996649188644,3.963759781928262e-14,3.1256846421871596,1.0102509788527378,False,log
Weibull,3,-54.339663014319974,1.576635857756223,3.2705476378246185,0.0,2.989190175919765,1.945206501890499,False,log
