,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
NB,0,-90.35821568424116,1.0764007637541795,0.0,0.5324328797269724,3.7067651549720537,0.0,False,log
Gamma,1,-90.53419763790325,1.7397632208555223,0.1759819536620899,0.4675671202730279,4.821682150114559,1.7678326961443098,False,log
LN,2,-92.0503941604801,1.6850828101432,1.6921784762389436,0.0,4.333833668277571,1.7879907837108757,False,log
Weibull,3,-94.12872877125163,1.4041291642398193,3.7705130870104444,0.0,4.056204985919924,2.209244450905914,False,log
