,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Gamma,0,-142.20618786439917,2.544696826620111,0.0,0.5986386868360271,5.791268171089438,0.0,False,log
NB,1,-142.6376173727275,1.5456084388046065,0.43142950832833904,0.2788284717321848,4.871759595812034,1.8908946103170712,False,log
LN,2,-143.0651545700419,2.4675038783940977,0.858966705642727,0.1225328414317888,5.513228014837884,2.0659377737667923,False,log
Weibull,3,-147.63683991594496,1.9865632011853052,5.430652051545815,0.0,5.049062876141468,2.8989360654259384,False,log
