,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Gamma,0,-91.2647068133523,2.2190691355162073,0.0,0.6885086258670472,4.841741934406829,0.0,False,log
NB,1,-91.76989816383947,1.4127521843409596,0.5051913504871699,0.31149137413295247,4.007730311181375,1.7313311537091636,False,log
LN,2,-92.48855562869055,2.3724226358218488,1.2238488153382363,0.0,4.057364698994403,1.9598996773944566,False,log
Weibull,3,-95.47834276835798,2.1571801694312427,4.213635955005641,3.3306690738754696e-16,4.302887019734881,2.3892531642351287,False,log
