,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Gamma,0,-90.7078653110554,2.0332613736546534,0.0,0.8407522225323202,3.953829778986373,0.0,False,log
NB,1,-91.11875187351505,1.9343835463931072,0.4108865624596163,0.15924777746768026,4.04019449789802,1.1167627203470751,False,log
LN,2,-92.2460120257367,2.1652414021716737,1.5381467146812895,2.111195563419047e-16,4.060501213998264,1.3854260663940345,False,log
Weibull,3,-94.75301799348391,1.9193692723868736,4.045152682428515,0.0,3.4055733739444203,1.6420155622567687,False,log
