,Model,Mean,SD,HDI 2.5%,HDI 97.5%
0,LogNormal,8.152313834854484,1.209974779260521,6.05826884282648,10.66183390849852
1,Gamma,8.165438041896607,1.0667231718854053,6.0474935269170516,10.200919320731975
2,Weibull,11.080007599486622,1.4224240851907612,8.709349639500655,13.86223443431671
3,NegativeBinomial,7.834593230713888,1.004974987397781,5.931879787510604,9.779776152432607
