,model,mean,sd
0,LogNormal,8.152313834854484,1.209974779260521
1,Gamma,8.165438041896607,1.0667231718854053
2,Weibull,11.080007599486622,1.4224240851907612
3,NegativeBinomial,7.834593230713888,1.004974987397781
