,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Gamma,0,-91.26475603626503,2.219118358428929,0.0,0.6885275118440282,4.841782249842089,0.0,False,log
NB,1,-91.77001370721814,1.4128677277196289,0.5052576709531049,0.31147248815597073,4.007731929049466,1.7313542690925172,False,log
LN,2,-92.4884831078735,2.3723501150048065,1.2237270716085114,0.0,4.057333818635101,1.95996800838514,False,log
Weibull,3,-95.47875365345217,2.15759105452544,4.213997617187161,1.1102230246251565e-15,4.303098915741363,2.390106035966112,False,log
