,Model,Mean,SD,HDI 2.5%,HDI 97.5%
0,LogNormal,8.871241735540746,1.1072334593746553,6.890422428779975,11.122663498169652
1,Gamma,8.02106121119071,0.8964342960718131,6.274847753515469,9.77134854401762
2,Weibull,9.391860791936768,1.1252830427034817,7.251207369855687,11.639541392452916
3,NegativeBinomial,7.6254282577053285,1.1278996842104194,5.514174904474217,9.901218598887832
