,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
NB,0,-90.5035178301429,1.16895908369861,0.0,0.5607915748238379,3.733792997887239,0.0,False,log
Gamma,1,-90.73552557769402,1.9249220464745065,0.23200774755109954,0.43920842517616193,4.804491785117606,1.6880387014411882,False,log
LN,2,-92.22468405800153,1.9259610588313194,1.7211662278586086,0.0,4.263388701986164,1.7382311031123916,False,log
Weibull,3,-94.29700779989939,1.5344668616753268,3.793489969756486,2.220446049250313e-16,4.1163514232772975,2.2740905224877155,False,log
