,Model,Mean,SD,HDI 2.5%,HDI 97.5%
0,LogNormal,9.887964195843564,0.8471902745394932,8.37026465205232,11.604419553488523
1,Gamma,9.52932432508473,0.6329319168515949,8.291224353769396,10.79455236124707
2,Weibull,9.831702011349982,0.8209874859911096,8.290529428862087,11.477364448340394
3,NegativeBinomial,9.612238526955345,0.736887730037386,8.111052879725628,10.986905191531312
