,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model
m[7],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[8],2.341,0.101,2.14,2.536,0.002,0.001,4390.0,2955.0,1.0,LogNormal
m[9],2.602,0.164,2.29,2.923,0.003,0.002,2970.0,2412.0,1.0,LogNormal
m[10],2.21,0.082,2.053,2.373,0.001,0.001,4541.0,2951.0,1.0,LogNormal
m[11],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[12],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[13],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[14],2.602,0.164,2.29,2.923,0.003,0.002,2970.0,2412.0,1.0,LogNormal
m[15],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[16],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[17],2.406,0.115,2.175,2.621,0.002,0.001,3890.0,2839.0,1.0,LogNormal
m[18],2.079,0.08,1.913,2.225,0.001,0.001,2995.0,2618.0,1.0,LogNormal
m[19],2.145,0.079,1.997,2.302,0.001,0.001,3800.0,3057.0,1.0,LogNormal
m[20],2.733,0.2,2.366,3.136,0.004,0.003,2693.0,2171.0,1.0,LogNormal
m[21],2.406,0.115,2.175,2.621,0.002,0.001,3890.0,2839.0,1.0,LogNormal
m[22],2.145,0.079,1.997,2.302,0.001,0.001,3800.0,3057.0,1.0,LogNormal
m[23],2.275,0.09,2.105,2.456,0.001,0.001,4708.0,2978.0,1.0,LogNormal
m[24],2.406,0.115,2.175,2.621,0.002,0.001,3890.0,2839.0,1.0,LogNormal
m[25],2.275,0.09,2.105,2.456,0.001,0.001,4708.0,2978.0,1.0,LogNormal
m[26],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[27],2.341,0.101,2.14,2.536,0.002,0.001,4390.0,2955.0,1.0,LogNormal
m[28],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[29],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
m[30],2.602,0.164,2.29,2.923,0.003,0.002,2970.0,2412.0,1.0,LogNormal
m[31],2.406,0.115,2.175,2.621,0.002,0.001,3890.0,2839.0,1.0,LogNormal
m[32],2.275,0.09,2.105,2.456,0.001,0.001,4708.0,2978.0,1.0,LogNormal
m[33],1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
