,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model
e[0],1.436,0.311,0.87,1.992,0.007,0.005,2061.0,1747.0,1.0,Gamma
e[1],2.153,0.466,1.304,2.988,0.01,0.007,2061.0,1747.0,1.0,Gamma
e[2],8.614,1.864,5.217,11.951,0.039,0.029,2061.0,1747.0,1.0,Gamma
e[3],5.025,1.088,3.043,6.971,0.023,0.017,2061.0,1747.0,1.0,Gamma
e[4],2.153,0.466,1.304,2.988,0.01,0.007,2061.0,1747.0,1.0,Gamma
e[5],3.589,0.777,2.174,4.98,0.016,0.012,2061.0,1747.0,1.0,Gamma
e[6],5.025,1.088,3.043,6.971,0.023,0.017,2061.0,1747.0,1.0,Gamma
e[7],3.589,0.777,2.174,4.98,0.016,0.012,2061.0,1747.0,1.0,Gamma
e[8],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[9],4.307,0.932,2.609,5.976,0.02,0.014,2061.0,1747.0,1.0,Gamma
e[10],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[11],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[12],7.178,1.554,4.348,9.959,0.033,0.024,2061.0,1747.0,1.0,Gamma
e[13],5.025,1.088,3.043,6.971,0.023,0.017,2061.0,1747.0,1.0,Gamma
e[14],3.589,0.777,2.174,4.98,0.016,0.012,2061.0,1747.0,1.0,Gamma
e[15],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[16],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[17],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[18],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[19],10.049,2.175,6.087,13.943,0.046,0.033,2061.0,1747.0,1.0,Gamma
e[20],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[21],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[22],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[23],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[24],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[25],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[26],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[27],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[28],5.025,1.088,3.043,6.971,0.023,0.017,2061.0,1747.0,1.0,Gamma
e[29],5.025,1.088,3.043,6.971,0.023,0.017,2061.0,1747.0,1.0,Gamma
m[0],8.294,0.771,6.833,9.88,0.016,0.011,2297.0,2611.0,1.0,Gamma
