,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model
m[25],1.983,0.082,1.803,2.126,0.002,0.001,1947.0,2092.0,1.0,LogNormal
m[26],1.983,0.082,1.803,2.126,0.002,0.001,1947.0,2092.0,1.0,LogNormal
m[27],1.983,0.082,1.803,2.126,0.002,0.001,1947.0,2092.0,1.0,LogNormal
m[28],2.374,0.117,2.137,2.598,0.002,0.001,3347.0,2363.0,1.0,LogNormal
m[29],2.374,0.117,2.137,2.598,0.002,0.001,3347.0,2363.0,1.0,LogNormal
r,0.597,0.136,0.338,0.864,0.002,0.002,2955.0,2583.0,1.0,Gamma
a,7.709,0.594,6.576,8.895,0.011,0.008,2983.0,2985.0,1.0,Gamma
s,4.539,0.428,3.723,5.343,0.007,0.005,3435.0,2807.0,1.0,Gamma
e[0],1.195,0.273,0.675,1.727,0.005,0.004,2955.0,2583.0,1.0,Gamma
e[1],1.792,0.409,1.013,2.591,0.007,0.005,2955.0,2583.0,1.0,Gamma
e[2],7.167,1.636,4.052,10.362,0.03,0.022,2955.0,2583.0,1.0,Gamma
e[3],4.181,0.954,2.364,6.045,0.017,0.013,2955.0,2583.0,1.0,Gamma
e[4],1.792,0.409,1.013,2.591,0.007,0.005,2955.0,2583.0,1.0,Gamma
e[5],2.986,0.682,1.688,4.318,0.012,0.009,2955.0,2583.0,1.0,Gamma
e[6],4.181,0.954,2.364,6.045,0.017,0.013,2955.0,2583.0,1.0,Gamma
e[7],2.986,0.682,1.688,4.318,0.012,0.009,2955.0,2583.0,1.0,Gamma
e[8],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[9],3.584,0.818,2.026,5.181,0.015,0.011,2955.0,2583.0,1.0,Gamma
e[10],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[11],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[12],5.973,1.363,3.377,8.635,0.025,0.018,2955.0,2583.0,1.0,Gamma
e[13],4.181,0.954,2.364,6.045,0.017,0.013,2955.0,2583.0,1.0,Gamma
e[14],2.986,0.682,1.688,4.318,0.012,0.009,2955.0,2583.0,1.0,Gamma
e[15],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[16],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[17],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[18],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[19],8.362,1.908,4.728,12.09,0.035,0.025,2955.0,2583.0,1.0,Gamma
e[20],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[21],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[22],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[23],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[24],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[25],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[26],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[27],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[28],4.181,0.954,2.364,6.045,0.017,0.013,2955.0,2583.0,1.0,Gamma
e[29],4.181,0.954,2.364,6.045,0.017,0.013,2955.0,2583.0,1.0,Gamma
m[0],8.903,0.557,7.868,10.06,0.009,0.007,3656.0,2854.0,1.0,Gamma
m[1],9.501,0.587,8.354,10.641,0.009,0.007,3896.0,2690.0,1.0,Gamma
m[2],14.876,1.525,11.912,17.735,0.025,0.018,3519.0,2520.0,1.0,Gamma
m[3],11.89,0.924,10.065,13.578,0.015,0.01,3977.0,2617.0,1.0,Gamma
m[4],9.501,0.587,8.354,10.641,0.009,0.007,3896.0,2690.0,1.0,Gamma
m[5],10.695,0.725,9.224,12.04,0.011,0.008,4225.0,3029.0,1.0,Gamma
m[6],11.89,0.924,10.065,13.578,0.015,0.01,3977.0,2617.0,1.0,Gamma
m[7],10.695,0.725,9.224,12.04,0.011,0.008,4225.0,3029.0,1.0,Gamma
m[8],7.709,0.594,6.576,8.895,0.011,0.008,2983.0,2985.0,1.0,Gamma
m[9],11.292,0.819,9.656,12.812,0.013,0.009,4114.0,2766.0,1.0,Gamma
m[10],7.709,0.594,6.576,8.895,0.011,0.008,2983.0,2985.0,1.0,Gamma
